2156 55 1023 499 2980 174 120 1440 2211 199 2910 2021 345 1900 89 2834 2945 2101 303 1520
126 888 2010 1722 65 456 2345 2090 321 163 2777 1729 834 289 1995 2212 2157 1630 830 1002
1445 29 1211 990 765 2344 800 1110 908 456 228 555 1800 2020 1355 332 220 1202 1789 1477 905
609 755 600 2111 878 201 1230 2000 1122 198 2750 1366 89 1550 1788 1499 1678 1333 1702 1090
3021 666 134 488 1330 2989 2250 1390 1888 217 1777 2120 1870 1988 223 2776 878 3030 995 555
1177 1880 1460 2121 1212 1400 90 79 501 1222 1770 1100 2301 600 500 1999 2011 2199 1133 2222
1412 1098 987 2112 345 456 789 1899 2089 2012 2900 2333 1900 1490 1399 1650 750 1250 990 3020
2130 2180 2190 2200 1800 888 1701 1640 1920 2840 1660 1498 1760 3001 1430 2760 2982 2188 2550
1099 1300 1044 2023 1333 1244 1632 1720 1220 1122 1002 918 867 750 723 685 643 612 585 566
577 590 601 622 642 655 688 699 711 733 745 766 780 799 820 839 860 875 889 900
